id,name,year,glottocode,map_name_full,note
1,Amabi-Oefeto,2020,amfo1237,Figure 1.2,
2,Amanatun,2020,aman1264,Figure 1.2,
3,Amanuban,2020,aman1264,Figure 1.2,
4,Amfo'an,2020,amfo1237,Figure 1.2,
5,Aputai,2020,aput1237,Figure 1.1,
6,Ba'a,2020,baaa1237,Figure 1.1,
7,Baikeno,2020,uabm1237,Figure 1.2,
8,Baumata,2020,uabm1237,Figure 1.2,
9,Beboki,2020,bibo1238,Figure 1.2,
10,Bilbaa,2020,bilb1242,Figure 1.1,
11,Bokai,2020,bokai125,Figure 1.1,
12,Bunak,2020,buna1278,Figure 1.1,
13,Dadu'a,2020,dadu1237,Figure 1.1,
14,Dela,2020,dela1252,Figure 1.1,
15,Dela-Oenale,2020,dela1251,Figure 1.1,
16,Dengka,2020,deng1253,Figure 1.1,
17,Dhao,2020,dhao1237,Figure 1.1,
18,Diu,2020,diuu1237,Figure 1.1,
19,East Rote,2020,east2860,Figure 1.1,
20,Fataluku,2020,fata1247,Figure 1.1,
21,Fatule'u,2020,amfo1237,Figure 1.2,
22,Galolen,2020,galo1243,Figure 1.1,
23,Habun,2020,habu1241,Figure 1.1,
24,Hawu,2020,sabu1255,Figure 1.1,
25,Helong,2020,helo1243,Figure 1.1,
26,Hresuk,2020,weta1245,Figure 1.1,
27,Idate,2020,idat1237,Figure 1.1,
28,Ili'uun,2020,iliu1237,Figure 1.1,
29,Insana,2020,bibo1238,Figure 1.2,
30,Kairui,2020,kair1266,Figure 1.1,
31,Keka,2020,keka1234,Figure 1.1,
32,Kemak,2020,kema1243,Figure 1.1,
33,Ketun,2020,east2858,Figure 1.2,
34,Kisar,2020,kisa1266,Figure 1.1,
35,Kopas,2020,east2858,Figure 1.2,
36,Korbafo,2020,korb1237,Figure 1.1,
37,Kotos Amarasi,2020,koto1251,Figure 1.2,
38,Kupang Malay,2020,kupa1239,Figure 1.1,
39,Kusa-Manea,2020,kusa1252,Figure 1.2,
40,Lakalei,2020,laka1255,Figure 1.1,
41,Landu,2020,land1257,Figure 1.1,
42,Lelain,2020,lela1245,Figure 1.1,
43,Lelenuk,2020,lele1271,Figure 1.1,
44,Leti,2020,leti1246,Figure 1.1,
45,Lole,2020,lole1239,Figure 1.1,
46,Luang,2020,luan1263,Figure 1.1,
47,Makalero,2020,makl1245,Figure 1.1,
48,Makasae,2020,maka1317,Figure 1.1,
49,Makuva,2020,maku1277,Figure 1.1,
50,Mambae,2020,mamb1306,Figure 1.1,
51,Meto,2020,uabm1238,Figure 1.1,
52,Midiki,2020,midi1237,Figure 1.1,
53,Miomafo,2020,moll1242,Figure 1.2,
54,Molo,2020,molo1261,Figure 1.2,
55,Naueti,2020,naue1237,Figure 1.1,
56,Oenale,2020,oena1237,Figure 1.1,
57,Oepao,2020,oepa1237,Figure 1.1,
58,Oirata,2020,oira1263,Figure 1.1,
59,Perai,2020,pera1257,Figure 1.1,
60,Raijua,2020,raij1237,Figure 1.1,
61,Raklungu,2020,iliu1237,Figure 1.1,
62,Rikou,2020,ring1244,Figure 1.1,
63,Ro'is Amarasi,2020,rois1241,Figure 1.2,
64,Roma,2020,roma1332,Figure 1.1,
65,Sa'ani,2020,maka1316,Figure 1.1,
66,Talae,2020,tala1297,Figure 1.1,
67,Termanu,2020,term1237,Figure 1.1,
68,Tetun,2020,tetu1245,Figure 1.1,
69,Tetun Dili,2020,tetu1246,Figure 1.1,
70,Tii,2020,tiii1241,Figure 1.1,
71,Timaus,2020,uabm1237,Figure 1.2,
72,Tokodede,2020,tuku1254,Figure 1.1,
73,Tugun,2020,tugu1245,Figure 1.1,
74,Waima'a,2020,waim1252,Figure 1.1,
75,Welaun,2020,wela1235,Figure 1.1,
